frame_index,node1_x_cm,node1_y_cm,node1_z_cm,node2_x_cm,node2_y_cm,node2_z_cm,distance_between_cm,node1_heading_deg,node1_dheading_deg,node1_pitch_deg,node1_dpitch_deg,node2_heading_deg,node2_dheading_deg,node2_pitch_deg,node2_dpitch_deg,node1_azimuth_deg,node1_dazimuth_deg,node1_elevation_deg,node1_delevation_deg,node2_azimuth_deg,node2_dazimuth_deg,node2_elevation_deg,node2_delevation_deg
1,,,,,,,,184.75,0.0,-175.375,0.0,209.0,0.0,-163.0,0.0,,,,,,,,
2,,,,,,,,184.75,0.0,-175.375,0.0,209.0,0.0,-163.0,0.0,,,,,,,,
3,,,,121.87366701385784,0.42542108005123164,-5.534284551768962,,184.75,0.0,-175.375,0.0,209.0,0.0,-163.0,0.0,,,,,0.2,0.0,-2.6,0.0
4,123.21792677969795,-6.0263620064474726,-12.530980850685346,126.94410223516176,0.0,-3.7676129988090663,11.269340649077623,184.75,0.0,-175.375,0.0,209.0,0.0,-163.0,0.0,-2.8,0.0,-5.8,0.0,0.0,-0.19999999999998863,-1.7,0.9000000000000057
5,123.58301773063233,-4.963606733948225,-8.865683097253052,121.91602998715422,3.4054230671482215,-2.9807257346236846,10.36591680019246,184.75,0.0,-175.375,0.0,209.0,0.0,-163.0,0.0,-2.3,0.5,-4.1,1.6999999999999886,1.6,1.4000000000000057,-1.4,1.1999999999999886
6,122.35547200752444,-4.914303404661281,-11.575322538177263,121.91602998715422,3.4054230671482215,-2.9807257346236846,11.969881038283056,184.75,0.0,-175.375,0.0,209.0,0.0,-163.0,0.0,-2.3,0.5,-5.4,0.4000000000000057,1.6,1.4000000000000057,-1.4,1.1999999999999886
7,122.35547200752444,-4.914303404661281,-11.575322538177263,121.91602998715422,3.4054230671482215,-2.9807257346236846,11.969881038283056,184.75,0.0,-175.375,0.0,208.5625,-0.4375,-163.0,0.0,-2.3,0.5,-5.4,0.4000000000000057,1.6,1.4000000000000057,-1.4,1.1999999999999886
8,122.35547200752444,-4.914303404661281,-11.575322538177263,121.91602998715422,3.4054230671482215,-2.9807257346236846,11.969881038283056,184.75,0.0,-175.375,0.0,203.5625,-5.4375,-162.875,0.125,-2.3,0.5,-5.4,0.4000000000000057,1.6,1.4000000000000057,-1.4,1.1999999999999886
9,122.35547200752444,-4.914303404661281,-11.575322538177263,121.91602998715422,3.4054230671482215,-2.9807257346236846,11.969881038283056,184.75,0.0,-175.375,0.0,203.875,-5.125,-162.9375,0.0625,-2.3,0.5,-5.4,0.4000000000000057,1.6,1.4000000000000057,-1.4,1.1999999999999886
10,122.35547200752444,-4.914303404661281,-11.575322538177263,121.91602998715422,3.4054230671482215,-2.9807257346236846,11.969881038283056,184.75,0.0,-175.375,0.0,203.875,-5.125,-162.9375,0.0625,-2.3,0.5,-5.4,0.4000000000000057,1.6,1.4000000000000057,-1.4,1.1999999999999886
11,122.35547200752444,-4.914303404661281,-11.575322538177263,121.91602998715422,3.4054230671482215,-2.9807257346236846,11.969881038283056,184.75,0.0,-175.375,0.0,203.875,-5.125,-162.9375,0.0625,-2.3,0.5,-5.4,0.4000000000000057,1.6,1.4000000000000057,-1.4,1.1999999999999886
12,122.35547200752444,-4.914303404661281,-11.575322538177263,114.31877880877279,29.139491327391603,2.471205546236121,37.703505466333866,184.75,0.0,-175.375,0.0,184.25,-24.75,-162.4375,0.5625,-2.3,0.5,-5.4,0.4000000000000057,14.3,14.099999999999994,1.2,3.8000000000000114
13,115.0296104666748,-21.31947814273994,1.633575099679997,114.17229047519606,29.73965408935349,2.0593839595994545,51.06810447869959,184.75,0.0,-175.375,0.0,184.1875,-24.8125,-162.5,0.5,-10.5,-7.699999999999989,0.8,6.599999999999994,14.6,14.400000000000006,1.0,3.5999999999999943
14,116.22519612948413,-20.284543928072203,2.0593839595994545,116.41775346445822,29.026205966783145,2.0942887724740213,49.31113821304666,184.75,0.0,-175.375,0.0,184.1875,-24.8125,-162.5625,0.4375,-9.9,-7.099999999999994,1.0,6.800000000000011,14.0,13.800000000000011,1.0,3.5999999999999943
15,116.26679769493683,-20.08276312352411,1.6475372800191421,105.58428213412886,7.938922052821967,4.993283775222123,30.1749067676989,184.75,0.0,-175.375,0.0,203.1875,-5.8125,-163.25,-0.25,-9.8,-7.0,0.8,6.599999999999994,4.3,4.099999999999994,2.7,5.300000000000011
16,108.87371018831467,-3.611712945314567,-3.8040451405726055,103.88472274116519,13.676683210048536,6.775892366560589,20.873756610333288,184.75,0.0,-175.375,0.0,204.625,-4.375,-163.0,0.0,-1.9,0.9000000000000057,-2.0,3.8000000000000114,7.5,7.300000000000011,3.7,6.300000000000011
17,108.87371018831467,-3.611712945314567,-3.8040451405726055,103.88472274116519,13.676683210048536,6.775892366560589,20.873756610333288,184.75,0.0,-175.375,0.0,204.625,-4.375,-163.0,0.0,-1.9,0.9000000000000057,-2.0,3.8000000000000114,7.5,7.300000000000011,3.7,6.300000000000011
18,108.87371018831467,-3.611712945314567,-3.8040451405726055,103.88472274116519,13.676683210048536,6.775892366560589,20.873756610333288,184.75,0.0,-175.375,0.0,206.8125,-2.1875,-162.8125,0.1875,-1.9,0.9000000000000057,-2.0,3.8000000000000114,7.5,7.300000000000011,3.7,6.300000000000011
