frame_index,node1_x_cm,node1_y_cm,node1_z_cm,node2_x_cm,node2_y_cm,node2_z_cm,distance_between_cm,node1_heading_deg,node1_dheading_deg,node1_pitch_deg,node1_dpitch_deg,node2_heading_deg,node2_dheading_deg,node2_pitch_deg,node2_dpitch_deg,node1_azimuth_deg,node1_dazimuth_deg,node1_elevation_deg,node1_delevation_deg,node2_azimuth_deg,node2_dazimuth_deg,node2_elevation_deg,node2_delevation_deg
1,,,,,,,,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,,,,,,,,
2,,,,127.74041676665804,1.3377434166200226,-8.037186499752112,,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,,,,,0.6,0.0,-3.6,0.0
3,126.07999039398905,0.220051318764055,-15.257378532000182,127.70280967699986,0.4457687091025887,-8.705957205151766,6.753192738808602,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.1,0.0,-6.9,0.0,0.2,-0.4000000000000057,-3.9,-0.30000000000001137
4,128.54679568734554,0.44871478801255177,-10.794441789868698,126.67015603716695,1.1054337047711422,-9.080175430251112,2.6252171841521084,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.2,0.09999999999999432,-4.8,2.0999999999999943,0.5,-0.09999999999999432,-4.1,-0.5
5,127.32118490204358,0.4444365819260285,-13.157444708767592,126.67015603716695,1.1054337047711422,-9.080175430251112,4.1814926221202855,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.2,0.09999999999999432,-5.9,1.0,0.5,-0.09999999999999432,-4.1,-0.5
6,127.32118490204358,0.4444365819260285,-13.157444708767592,126.67015603716695,1.1054337047711422,-9.080175430251112,4.1814926221202855,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.2,0.09999999999999432,-5.9,1.0,0.5,-0.09999999999999432,-4.1,-0.5
7,127.32118490204358,0.4444365819260285,-13.157444708767592,126.67015603716695,1.1054337047711422,-9.080175430251112,4.1814926221202855,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.2,0.09999999999999432,-5.9,1.0,0.5,-0.09999999999999432,-4.1,-0.5
8,127.32118490204358,0.4444365819260285,-13.157444708767592,123.83198669165088,4.107930083439547,-4.976342274037407,9.619050152410454,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.2,0.09999999999999432,-5.9,1.0,1.9,1.3000000000000114,-2.3,1.3000000000000114
9,127.32118490204358,0.4444365819260285,-13.157444708767592,128.60566796995823,6.289866511498976,-7.875261599996537,7.982506261061927,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.2,0.09999999999999432,-5.9,1.0,2.8,2.1999999999999886,-3.5,0.09999999999999432
10,127.71547552948628,0.891636707306884,-8.483059251200018,123.68881825654405,5.400370432320295,-6.921866619152311,6.243394191557338,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,0.4,0.30000000000001137,-3.8,3.0999999999999943,2.5,1.9000000000000057,-3.2,0.4000000000000057
