frame_index,img_filename,img_timestamp_iso,imu_timestamp,imu_temp_c,imu_heading_deg,imu_roll_deg,imu_pitch_deg,imu_sys_cal,imu_gyro_cal,imu_accel_cal,imu_mag_cal,uwb_timestamp,uwb_distance_cm,uwb_azimuth_deg,uwb_elevation_deg,uwb_nlos_status
1,n2_20251202_073704_793.jpg,2025-12-02T07:37:04.793,2025-12-02T07:37:05.928,25,212.4375,4.875,-162.8125,0,3,0,0,,,,,
2,n2_20251202_073706_054.jpg,2025-12-02T07:37:06.054,2025-12-02T07:37:07.176,25,212.4375,4.875,-162.8125,0,3,1,0,,,,,
3,n2_20251202_073707_279.jpg,2025-12-02T07:37:07.279,2025-12-02T07:37:08.395,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:08.299,114.0,-3.8,-2.8,0
4,n2_20251202_073708_491.jpg,2025-12-02T07:37:08.491,2025-12-02T07:37:09.608,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:09.600,113.0,-3.6,-3.1,0
5,n2_20251202_073709_694.jpg,2025-12-02T07:37:09.694,2025-12-02T07:37:10.820,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:09.811,111.0,-2.9,-2.7,0
6,n2_20251202_073710_907.jpg,2025-12-02T07:37:10.907,2025-12-02T07:37:11.981,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:09.811,111.0,-2.9,-2.7,0
7,n2_20251202_073712_043.jpg,2025-12-02T07:37:12.043,2025-12-02T07:37:13.057,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:09.811,111.0,-2.9,-2.7,0
8,n2_20251202_073713_123.jpg,2025-12-02T07:37:13.123,2025-12-02T07:37:14.148,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:09.811,111.0,-2.9,-2.7,0
9,n2_20251202_073714_214.jpg,2025-12-02T07:37:14.214,2025-12-02T07:37:15.236,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:09.811,111.0,-2.9,-2.7,0
10,n2_20251202_073715_309.jpg,2025-12-02T07:37:15.309,2025-12-02T07:37:16.363,25,212.4375,4.875,-162.8125,0,3,1,0,2025-12-02T07:37:09.811,111.0,-2.9,-2.7,0
11,n2_20251202_073716_438.jpg,2025-12-02T07:37:16.438,2025-12-02T07:37:17.463,25,216.1875,4.6875,-162.9375,0,3,1,0,2025-12-02T07:37:17.346,111.0,-5.8,-1.7,0
12,n2_20251202_073717_528.jpg,2025-12-02T07:37:17.528,2025-12-02T07:37:18.562,25,220.5,4.625,-163.0,0,3,1,0,2025-12-02T07:37:18.426,108.0,-12.5,-5.7,0
